2000 3
1671 758 1723
1238 98 639
1789 1834 669
990 379 271
1552 530 243
169 1070 1202
1121 1863 1125
1081 1571 461
193 154 901
457 889 1515
1910 913 625
1985 151 1075
624 1940 909
1645 1282 1641
1916 1187 171
512 1708 1242
66 829 1105
1543 1910 1029
4 103 1535
906 560 424
773 471 1337
1399 456 1488
826 1433 1781
88 1430 1415
1729 1699 602
1900 211 310
1494 277 1140
600 1821 1402
1981 1825 1506
1516 1083 418
1940 1857 1241
1630 1608 50
1470 434 1483
1251 522 1265
667 251 964
1621 152 1175
284 1646 1805
1776 598 1626
1178 931 1803
1036 447 887
1807 740 744
1048 722 352
1450 192 786
1285 1796 1661
551 815 1912
1515 788 416
691 1072 415
496 848 1365
474 379 297
277 1767 1096
1516 1574 188
612 975 1262
964 425 1455
103 1711 1603
116 262 418
28 1777 1206
797 820 631
1564 1668 1831
929 142 210
1578 772 1978
1027 288 1904
1567 1253 879
830 217 1657
637 672 1720
240 788 1982
1010 1169 111
568 318 1284
1199 1882 952
1383 811 1447
1593 742 219
1923 1769 859
1828 1336 112
1059 518 682
1068 1155 1706
788 1747 847
1122 1109 368
1234 30 686
870 1581 568
174 964 1731
1621 558 825
192 833 594
1404 1013 283
1516 425 1153
550 1493 661
609 282 408
1456 1404 1870
1824 990 1900
862 1860 1481
1782 35 446
1865 8 1356
691 201 189
1637 1605 1203
272 1473 1628
1426 376 1121
87 985 1755
847 441 1160
717 617 502
617 1479 715
99 1613 1102
897 1478 1110
253 521 1663
442 159 1268
1997 783 1094
1625 209 1470
1099 648 455
854 1496 1248
366 565 1865
1221 1535 1696
1936 1986 1309
1038 883 1139
148 1136 1661
1812 1930 172
1432 1928 955
526 1905 1517
348 1004 517
803 211 13
51 929 931
268 150 466
1964 86 804
1625 1124 1687
1117 1625 1175
778 1789 1105
1302 1221 1385
609 100 1291
126 448 647
644 1604 1210
1009 1655 140
292 1924 642
1110 240 729
1914 218 205
1953 1335 182
1128 113 1971
586 1767 1545
323 376 1645
1614 855 445
614 1499 49
1824 860 57
316 1153 333
959 263 573
40 178 791
597 483 126
780 1612 591
1103 550 710
648 873 1087
645 840 1942
1091 1454 1793
1140 1630 653
1549 299 1806
1882 1610 422
808 2 952
1951 599 1435
430 1731 1399
1373 835 1949
84 1835 1175
1171 481 15
1465 1924 1821
1258 1064 1803
1911 966 102
70 848 1712
844 8 1714
1796 312 666
1231 742 749
983 467 1936
932 551 1772
107 74 605
474 1539 529
295 1149 1945
99 1413 911
553 1835 112
618 679 120
684 475 784
1350 58 1526
100 1041 1994
388 326 897
160 433 1324
765 908 1215
1646 1555 365
1592 6 1778
503 560 1613
967 1178 644
1440 1862 1119
224 1565 1529
103 17 571
449 405 897
1346 918 1682
670 35 942
1886 1682 850
603 1274 856
733 129 1768
698 1097 946
1342 889 1161
813 1113 1078
342 1216 1095
1265 1665 1852
514 1364 770
549 386 806
1843 624 488
693 1227 114
1550 1960 595
1318 1010 44
617 352 933
130 1517 47
1208 1860 1615
655 1125 1281
507 1992 997
1278 541 1383
436 384 8
1276 1078 1587
1390 980 1900
337 650 910
382 1619 1615
1315 1749 1132
1362 957 992
978 1612 470
611 472 814
1960 1750 1355
1343 538 91
1703 1814 1521
1291 1556 853
1191 1893 1504
101 275 1475
1716 1591 1225
849 1305 534
193 635 499
1015 1598 971
1829 1558 1073
1184 902 1611
1628 957 1777
1149 248 1333
3 1439 1226
1859 1893 1854
1334 1961 1797
911 1162 1102
1798 1356 1738
297 371 1688
1268 553 1247
693 89 501
304 1717 1458
81 867 1707
1766 1222 1498
1344 1433 1391
1198 767 1705
995 31 867
450 1829 223
540 126 947
228 1746 1500
1475 439 1589
1976 1095 1307
1787 1528 526
1494 1294 100
1344 638 1533
736 189 652
441 1184 683
1308 1634 864
1884 526 990
831 755 1088
683 230 1879
624 559 974
283 346 502
809 192 1796
1261 1536 787
794 624 976
1447 1417 512
482 1078 499
1347 962 1025
689 145 1780
130 1180 363
9 1804 1274
984 88 1620
1486 1249 1812
1635 511 1700
774 1305 325
102 1104 1742
614 1939 820
1465 1638 134
843 327 631
623 809 1811
1338 819 1616
612 1803 56
584 1641 1305
748 1628 1816
449 402 1474
774 504 930
868 1471 869
1689 1288 507
175 131 1187
807 1107 348
970 445 1167
586 1410 1322
642 1994 964
1948 743 944
116 1192 1347
1590 318 203
873 1186 26
1742 1227 1315
602 1755 1798
141 562 905
489 1532 1703
9 471 1113
1331 1465 1459
295 1765 202
1592 1882 1746
1291 1824 416
1494 697 1603
1873 792 1182
1540 1394 937
1338 1887 1499
244 728 1384
1947 737 207
1060 69 1672
519 716 1438
1074 308 1320
1172 1599 1496
1589 1446 194
1192 1319 986
726 859 732
1664 197 971
1515 793 1699
1251 740 437
1458 152 506
1131 1024 1222
569 98 1531
241 1622 1130
1737 1211 576
283 755 247
1621 1482 1106
353 1146 1656
1324 1013 449
1376 265 1542
1813 1723 1694
319 1206 718
1893 127 1168
1776 720 1143
907 458 354
1835 1093 1110
435 1067 944
1541 1420 442
1549 1097 1455
351 825 72
1893 638 148
1587 1309 1354
658 1202 1482
178 979 202
1321 238 1012
28 425 458
1138 860 1525
82 754 1297
876 303 746
331 654 1571
404 899 209
552 487 1518
258 1497 1073
1740 1675 52
295 1349 642
1659 1377 1067
117 867 1928
1642 1301 1034
940 177 1337
38 508 344
1610 1264 1243
171 168 82
42 427 1931
1115 519 1959
1519 1166 1308
161 826 1037
1228 943 1904
1508 938 1205
542 230 1734
232 268 594
928 1878 1859
523 50 379
958 92 1158
889 1559 1678
848 1078 844
508 1239 1670
1545 819 966
1449 680 1904
1006 1222 134
1092 1806 754
1687 1086 633
1898 1610 1035
277 920 1479
1436 1809 1390
1466 1010 468
662 1518 59
333 1064 878
1651 865 1558
1555 224 1133
41 1316 1291
795 1355 378
1780 1253 340
1167 1883 1260
998 1671 1421
388 1489 431
856 151 1950
915 836 1014
146 487 1879
56 394 455
1189 435 1772
481 1583 1479
1211 1715 733
1551 883 968
1163 1881 639
584 270 128
1016 1478 631
1318 746 1468
332 892 1955
563 948 350
1371 490 1137
1495 1323 1072
974 886 788
1707 437 1671
1027 1952 1904
18 888 526
498 1904 5
1130 1574 1103
598 1906 347
905 822 1647
1607 193 137
745 1688 1812
169 662 698
957 722 1487
980 101 1439
1237 120 328
1763 618 584
120 1748 159
1223 346 417
1922 1252 1591
1570 859 1784
1707 1956 1824
1872 478 839
570 1787 1561
410 768 1662
1849 357 1782
529 472 753
1466 593 501
1977 168 1200
394 91 804
1986 1661 15
122 1720 324
1947 1592 802
786 515 589
699 925 1709
713 1126 66
848 8 539
1601 1474 1484
454 1803 4
1654 197 447
810 535 108
826 1010 181
1502 1309 125
304 447 992
1245 1146 269
955 211 1396
1373 1059 1756
264 1012 1230
100 1467 1033
105 1473 1582
552 284 470
1013 1462 1480
1546 964 789
1671 1620 1236
1016 865 734
1285 172 945
681 1898 5
789 514 1369
19 615 836
1404 1072 310
1339 1976 946
1809 1341 760
1641 1239 76
782 1263 1696
370 279 913
1104 1564 1438
401 598 1688
758 1387 202
128 1759 1169
1316 1515 593
1626 854 922
924 1015 263
36 1008 1503
112 1790 766
160 512 1397
1426 1968 961
864 370 1911
552 1480 1299
1106 1608 1410
276 925 925
1221 903 132
143 180 1147
407 216 508
262 329 298
1380 841 1163
777 267 1131
1738 1131 1853
1650 35 1334
1301 1142 1294
711 1770 571
1988 991 1827
120 1135 7
1620 1894 575
128 156 1256
778 1536 98
1941 665 365
1073 403 1849
926 405 1884
612 58 1378
1907 1121 1500
830 1110 492
657 1582 1979
664 1202 1873
1592 1682 381
848 461 269
946 754 934
1312 179 1689
1513 1458 95
1749 70 505
1128 329 1627
628 1160 1089
1472 1817 671
1803 834 226
1676 426 1908
409 1274 721
678 573 1828
1612 237 7
1302 1750 1817
1749 1499 240
606 979 569
233 1960 81
1674 1432 251
698 1588 1085
924 1264 1863
1184 26 1489
1906 1056 62
86 669 299
93 323 49
1911 424 1901
151 1030 880
1072 1616 840
1154 1642 625
1757 340 213
842 1264 1829
1057 449 1855
546 707 912
609 793 1933
1260 1238 608
1310 1501 1032
1211 4 414
91 1077 382
1284 583 25
1909 340 365
122 1534 1982
1951 943 783
1807 1489 1490
1071 450 635
1004 1711 1873
1612 1373 1727
996 584 1731
1762 1027 1160
497 311 1743
522 572 435
1239 694 321
1573 646 1264
356 805 1106
198 1876 1556
1185 1232 1267
1059 844 640
786 192 1576
869 1954 956
30 451 1619
125 1325 192
913 917 1238
1234 490 1884
851 1199 1041
309 1749 917
1865 935 149
1485 1994 1345
477 1132 1537
406 1 1844
1714 31 647
1333 509 325
1877 1422 1242
1116 656 84
1352 1859 1635
394 168 1385
1311 386 320
1813 223 314
1510 700 1798
1048 1106 151
1244 820 535
243 506 1044
568 383 466
1810 1851 1474
247 1204 1334
1882 1598 1854
1267 1261 592
1587 1426 815
253 937 1516
403 337 974
555 1581 147
1090 176 1005
134 745 1388
952 907 1592
426 1154 796
112 1389 746
1967 656 359
911 596 1786
1727 1201 1075
1243 1605 1412
569 512 1345
716 1602 1521
1721 88 618
1462 1040 1526
1406 1818 1032
554 1931 421
1300 250 1430
11 1161 378
149 888 1579
1224 483 1184
988 1053 1696
333 121 1650
207 195 90
825 9 1482
703 1415 1301
1736 1969 1584
157 1621 186
1939 1984 1347
317 134 588
1897 1710 1423
1433 699 828
1482 1384 950
1484 1943 1497
1575 769 1506
1409 1472 1273
710 1560 1594
646 70 1215
832 9 1551
532 327 1685
1120 576 1396
895 361 447
1724 195 1831
1026 1680 1775
523 1607 896
381 1016 720
6 79 281
1600 725 351
1167 1910 360
718 442 1039
756 1914 1967
152 809 329
599 533 524
782 1911 556
557 786 163
1453 1167 1532
526 1525 1963
807 1125 688
1158 644 950
1870 1363 1392
910 119 1306
1229 623 468
1558 1574 1353
435 356 1265
1343 1266 51
1859 1071 1571
1391 1597 1096
1354 756 222
394 1914 1218
1345 137 581
1089 1399 1052
396 628 27
864 539 1953
217 974 310
1834 317 1928
1886 176 1351
1809 1919 949
905 1625 1705
1479 372 1972
698 1717 461
1631 1158 1860
1036 1554 840
1063 770 1379
1017 1340 705
1679 1526 1023
1959 1412 1551
1310 1221 1823
611 479 1448
669 1958 1820
993 1008 1889
1454 640 1400
1314 1676 1306
506 1091 77
1886 460 1769
591 139 1295
1966 98 1060
1870 1761 633
1693 372 1112
1493 1041 1423
1666 34 431
1907 1840 1423
1307 1154 1451
966 13 543
1395 1899 1003
1164 842 1495
811 1161 1945
223 1031 1706
857 1076 431
321 921 1472
1744 939 1859
528 847 1699
303 506 1206
1755 1824 1219
650 1219 1470
1653 383 312
1500 1547 1473
1446 1770 856
1504 979 284
1935 1301 1206
1760 1397 145
1619 1925 1344
1670 581 203
1228 336 27
447 986 1247
269 991 1982
934 492 1881
759 290 1652
1616 1794 983
1900 1730 284
1458 1490 1682
1604 1461 1959
1300 1483 892
1855 712 1228
235 1511 566
1482 1781 1910
1816 715 402
1698 1474 1044
1702 1442 838
1037 1343 920
1322 801 410
1356 757 223
1667 410 1707
560 265 419
140 500 282
707 334 63
617 503 1130
1371 553 605
767 607 399
1605 1644 1742
526 1318 896
1288 674 5
1864 694 767
1571 1254 1385
342 1394 1885
624 453 572
1040 1422 1427
170 1145 1980
1127 1912 587
1527 1870 231
1621 396 1550
869 36 576
1227 1900 1270
1994 1823 876
1379 165 271
1617 1142 1076
541 534 499
1968 704 1996
1948 184 1909
887 63 1779
1470 1684 527
1372 906 915
301 133 816
1571 479 639
448 1859 1157
1071 1828 651
147 369 1185
998 689 241
995 989 425
904 1876 488
1035 1698 525
1914 1071 1431
829 1372 1916
1645 1295 395
637 95 606
1794 1166 434
797 1666 1155
1982 664 1844
223 1659 833
1001 915 1061
1841 1950 760
718 1864 183
149 1046 1555
417 691 1202
813 1680 1298
1419 1474 464
206 623 130
1361 605 1147
1558 1181 806
743 534 1722
1805 375 24
917 1446 241
1100 1595 1287
1007 365 1978
209 1178 11
1859 949 1837
676 1155 461
1158 869 1066
305 427 599
1112 1170 1485
1186 1327 213
1210 244 1659
1451 1696 1254
738 703 1619
1069 1265 1149
1080 1476 99
917 152 1606
1378 1311 475
797 1616 902
1748 1080 425
1234 266 1752
1447 1477 349
1106 1280 45
712 371 1101
684 1440 718
185 872 194
284 141 347
1891 1872 10
366 1021 1978
1621 769 1059
46 355 1325
1798 154 1154
147 1260 787
545 325 1158
1646 1361 598
364 1546 1822
558 183 1963
1257 426 1835
1267 792 1208
1598 765 1978
657 811 685
334 962 840
1841 1461 452
628 6 1129
1786 1652 490
736 368 37
558 927 220
873 536 646
1061 156 1790
269 1754 908
599 411 1719
1285 1097 681
477 938 495
929 1566 501
59 1352 506
901 440 874
938 1350 153
1510 224 690
508 1285 1198
651 1906 952
1559 506 1715
1278 143 812
312 620 103
807 1901 1669
1660 312 1374
166 1214 166
1041 152 1517
1194 15 1741
236 523 1378
1434 1526 1284
386 1085 1790
453 716 285
1618 1380 905
1721 539 1159
1390 199 1471
1116 366 685
1283 1759 1190
800 953 1557
893 1542 80
271 976 1959
1555 1715 1044
1698 168 112
1983 1786 1492
1241 1507 31
400 1250 231
1871 718 949
557 1 708
99 1153 13
1656 46 1555
88 669 532
47 577 247
1444 275 767
1556 258 554
1049 1499 413
1080 251 1663
1663 123 382
612 1032 735
1320 1131 241
1334 1139 639
889 1227 1309
1773 1627 1886
372 1071 513
1140 627 771
1694 28 623
107 1109 874
123 772 1349
857 1385 381
1592 1057 1864
185 743 1003
825 1633 231
486 1758 1858
372 131 1281
885 1271 1908
8 1317 289
983 1776 1398
210 251 522
1559 1108 259
293 1053 1669
157 1238 412
1161 415 397
1744 901 156
1954 1625 639
1235 510 262
1495 871 1931
1784 206 1707
1534 416 1959
409 328 1419
668 621 472
337 1130 63
750 291 478
1147 387 1380
1655 341 1005
294 1576 1868
556 1424 1091
487 1208 1649
547 743 66
858 1152 746
277 172 1719
1102 862 849
1165 1964 1141
1995 1111 1880
1727 1119 222
733 1413 150
953 322 1574
396 1161 783
45 60 1878
463 1270 1382
1209 1900 1906
928 1002 768
130 519 732
1271 514 196
1503 242 1315
1725 1327 1080
1876 632 1754
1450 1028 1268
585 1425 1328
463 1889 599
197 1450 499
104 379 1853
1224 861 372
1957 484 1238
505 1987 1832
172 1713 1511
1604 1589 143
1359 1391 1523
627 1977 949
307 440 1190
1258 990 640
109 1094 1371
1962 670 232
686 627 716
277 1484 704
461 1656 417
1973 1261 358
468 972 1749
1992 1951 1726
1293 258 519
483 1869 1509
1123 1978 955
495 293 1625
1079 1331 605
1796 1960 441
852 422 98
1269 395 1711
1979 863 683
1728 1207 634
1807 500 1244
678 1335 1465
187 459 1796
1494 1306 89
1471 385 1772
428 533 1733
870 1385 155
1320 1006 902
1031 985 117
66 1066 1325
1052 873 177
648 1551 1513
114 90 324
1910 1936 1982
351 1759 367
123 188 1253
208 1058 638
715 378 1997
1617 1761 982
87 1827 400
1764 879 1625
1941 1879 1528
1806 1993 1970
130 255 1906
112 958 1666
832 1082 206
437 1642 1264
1427 358 1994
1424 327 1755
759 414 1934
1159 178 1165
785 120 1044
313 278 1390
284 761 1645
542 1225 604
560 57 38
766 846 1680
30 274 390
376 1698 718
483 809 1132
417 1969 1663
1934 1106 135
979 1419 413
369 55 1174
366 598 400
970 1158 809
1360 1925 1656
1393 307 282
1783 1036 1980
853 1519 1142
338 289 1111
1 223 217
136 1202 1988
549 1923 44
76 642 994
476 1964 152
1637 1325 429
1645 718 737
1927 853 125
260 1707 1644
1402 45 1933
513 398 509
1082 534 63
1070 1083 339
1466 1159 981
460 1987 945
965 1625 270
1394 1270 1340
483 1550 546
608 1810 253
253 1212 650
538 77 1048
1047 1511 1934
1463 581 1017
1802 400 529
783 860 868
1728 1825 845
351 1572 116
1691 55 18
237 664 1828
842 1269 1392
1844 159 1469
1244 1559 980
1178 1022 1913
548 824 313
1077 1959 1526
1945 1687 1703
791 38 1275
1259 82 1683
1629 671 347
1457 1514 1968
849 1710 127
670 955 1686
2 485 708
267 1033 1884
933 462 1843
459 760 1883
514 1551 273
142 1162 355
1825 791 1027
524 600 893
492 1801 955
619 823 262
658 825 748
1366 1092 1781
1603 25 244
1446 836 1004
1681 1351 907
1955 1845 421
310 1670 1564
1689 546 164
934 1038 317
1890 9 1140
152 667 1965
900 386 1409
1034 1989 1435
1630 1787 623
986 1469 326
1893 1776 171
666 438 193
230 128 1091
746 1414 129
1415 1304 491
555 1809 1510
872 709 1896
281 95 237
68 1725 377
1044 1063 198
1370 1308 1974
1894 1974 412
439 556 892
1531 1654 307
12 1069 1963
503 1976 1772
14 848 834
262 1482 1281
852 1550 1007
1229 946 70
1779 317 1379
105 211 1705
869 650 262
114 181 268
773 194 1338
736 1049 1314
861 1415 515
47 1678 1997
1328 882 1899
687 463 846
1110 242 1163
841 699 1726
546 1568 728
1160 1682 1262
1781 455 1808
1119 1544 857
785 757 273
1300 804 303
1649 132 1537
1549 1172 0
395 282 594
1910 1475 1293
1988 21 1213
716 1534 1248
330 1315 55
138 786 1599
996 1923 708
1621 1576 1512
276 1225 1997
165 1126 1169
165 1873 1803
1111 1783 1278
756 123 1651
1969 1192 1537
1217 1522 1204
1625 1661 342
1576 1009 266
285 982 1842
1797 1258 1419
146 1423 546
1667 1940 419
1822 1403 555
1100 159 678
1104 128 1870
993 1698 1393
198 1675 1406
540 1251 415
1158 1536 1749
1352 1686 1359
772 1832 782
1318 1500 1074
89 1322 477
644 775 988
1323 231 1468
1545 1224 1166
1290 1774 1193
696 667 445
1463 1825 1981
1212 1178 1667
571 302 1852
1705 1972 1352
1131 61 1026
1960 706 1801
948 29 384
417 1926 1609
1935 1217 1383
1129 265 50
1574 1729 228
1907 1293 1758
1575 1865 60
1427 1922 32
1131 1054 93
157 1366 799
311 315 1180
695 732 1107
656 667 676
40 1796 941
442 1722 1022
670 1630 316
428 1557 533
840 1336 807
872 467 213
1318 976 1580
469 1639 1895
2 687 627
1461 1343 1294
137 1735 1443
1430 178 1165
453 1200 1147
769 1981 704
1654 821 40
461 46 859
675 1716 188
255 185 1827
150 539 514
1129 0 210
775 489 1945
218 1920 475
1736 373 1676
883 1494 1657
1940 1148 830
332 1961 1228
1192 636 944
1380 1243 1482
1559 1393 373
426 522 374
636 1298 863
581 1868 1135
1409 1956 1860
1085 1192 1354
1094 1132 854
276 1816 816
1505 1008 1804
801 740 1048
635 300 441
1009 726 1316
1735 1714 966
950 647 1186
86 56 1143
1946 1141 687
1301 587 171
507 864 1987
1675 721 996
1480 1874 88
528 510 740
1321 1871 1818
989 1606 1532
1955 556 180
1494 994 588
989 941 82
1676 594 669
1847 1101 1885
186 1129 606
1182 609 833
1623 1137 1695
363 810 1566
182 1800 1524
66 107 432
598 1601 1779
1187 942 720
1269 618 1666
290 817 1119
176 1004 248
1134 538 857
1967 513 346
1662 877 1157
1580 1411 1309
1456 1829 1416
241 428 1370
20 1967 664
1092 1236 1635
758 1526 452
229 54 1808
478 1189 699
1687 1156 1212
34 1171 441
1543 1103 204
1204 912 34
620 1505 462
342 1525 781
1007 969 369
642 79 1895
1446 308 302
1607 1138 1491
306 826 999
1870 1212 522
312 1107 1978
516 311 890
550 1283 395
1364 1978 272
497 985 1593
866 1979 1672
1114 1425 332
1416 1384 1471
907 1690 649
258 1561 213
781 225 1672
759 741 1983
1 1644 1618
748 1360 1596
1372 1858 581
965 724 912
637 1838 690
1321 1606 74
792 513 1765
1793 1124 1678
358 1905 1903
30 1016 996
365 1369 992
1984 117 353
1932 1489 563
866 454 1639
1778 1443 1830
468 764 1436
543 1909 302
660 54 1426
338 413 1683
593 795 699
1941 1161 420
934 1497 537
1639 1429 378
202 295 832
193 426 627
23 894 1743
1460 1437 1652
1762 97 1707
1540 787 472
1223 1732 1619
274 1674 780
694 608 629
1583 247 411
1961 801 1058
1145 994 1484
1772 1018 379
1515 830 168
1520 944 618
1579 484 1757
403 59 1490
22 685 1164
803 1731 1772
1784 1314 371
195 1627 1172
1606 772 518
1090 896 1888
1821 763 718
1990 635 1662
960 214 498
717 617 909
207 992 1594
1371 147 1325
1495 1931 991
218 479 618
1742 85 1742
261 1175 990
149 1349 106
1220 1339 741
1234 299 1308
85 1368 277
994 1576 1269
941 1299 1416
618 1147 1700
1610 1365 179
580 1108 616
323 1721 143
1665 222 1492
1771 1442 831
865 1029 1482
173 1114 1203
802 108 779
72 1049 430
1840 20 1929
1540 1630 1295
71 210 755
687 885 476
831 551 698
323 674 493
1507 1539 1522
1341 64 636
544 867 1096
1675 1291 498
106 1131 518
35 672 148
1682 743 710
437 1783 1596
1265 614 499
316 1289 1525
809 796 1417
331 138 1481
967 1034 700
415 710 1991
913 1168 1475
1431 1555 499
1931 1238 1594
